year,purpose,model,type,district,size,value
2016,purpose,van,normal,Gwangju,small,0
2016,purpose,van,normal,Gwangju,mid,92.9
2016,purpose,van,normal,Gwangju,large,189.2
2016,purpose,van,normal,Daejeon,small,0
2016,purpose,van,normal,Daejeon,mid,96.2
2016,purpose,van,normal,Daejeon,large,196.7
2016,purpose,van,normal,Ulsan,small,0
2016,purpose,van,normal,Ulsan,mid,113.2
2016,purpose,van,normal,Ulsan,large,221.9
2016,purpose,lorry,normal,Seoul,small,94
2016,purpose,lorry,normal,Seoul,mid,116.5
2016,purpose,lorry,normal,Seoul,large,181.2
2016,purpose,lorry,normal,Busan,small,80.7
2016,purpose,lorry,normal,Busan,mid,121.7
2016,purpose,lorry,normal,Busan,large,189
2016,purpose,lorry,normal,Daegu,small,91.6
2016,purpose,lorry,normal,Daegu,mid,132.3
2016,purpose,lorry,normal,Daegu,large,202.8
2016,purpose,lorry,normal,Incheon,small,106
2016,purpose,lorry,normal,Incheon,mid,127.3
2016,purpose,lorry,normal,Incheon,large,181.2
2016,purpose,lorry,normal,Gwangju,small,84.4
2016,purpose,lorry,normal,Gwangju,mid,120
2016,purpose,lorry,normal,Gwangju,large,207.4
2016,purpose,lorry,normal,Daejeon,small,100.7
2016,purpose,lorry,normal,Daejeon,mid,145.9
2016,purpose,lorry,normal,Daejeon,large,204.5
2016,purpose,lorry,normal,Ulsan,small,69.3
2016,purpose,lorry,normal,Ulsan,mid,94.1
2016,purpose,lorry,normal,Ulsan,large,194.8
